dataset	data_type	model_type	ext_comp	alg
hum-kegg	read-based	base	False	rf
hum-kegg-lididem	read-based	base	False	rf
lididem	other	base	False	rf
mags	mag-based	base	False	rf
mags-distal	mag-based	feature-strat	False	rf
mags-FIT-high	mag-based	feature-strat	False	rf
mags-FIT-low	mag-based	feature-strat	False	rf
mags-lididem	mag-based	base	False	rf
mags-men	mag-based	feature-strat	False	rf
mags-old	mag-based	feature-strat	False	rf
mags-proximal	mag-based	feature-strat	False	rf
mags-WCRF-high	mag-based	feature-strat	False	rf
mags-WCRF-low	mag-based	feature-strat	False	rf
mags-women	mag-based	feature-strat	False	rf
mags-young	mag-based	feature-strat	False	rf
mags-Bærum	read-based	feature-strat	False	rf
mags-Moss	read-based	feature-strat	False	rf
mphl	read-based	base	True	rf
mphl-distal	read-based	feature-strat	False	rf
mphl-FIT-high	read-based	feature-strat	False	rf
mphl-FIT-low	read-based	feature-strat	False	rf
mphl-hum-kegg	read-based	base	False	rf
mphl-hum-kegg-lididem	read-based	base	False	rf
mphl-lididem	read-based	base	False	rf
mphl-men	read-based	feature-strat	False	rf
mphl-old	read-based	feature-strat	False	rf
mphl-proximal	read-based	feature-strat	False	rf
mphl-WCRF-high	read-based	feature-strat	False	rf
mphl-WCRF-low	read-based	feature-strat	False	rf
mphl-women	read-based	feature-strat	False	rf
mphl-young	read-based	feature-strat	False	rf
mphl-Bærum	read-based	feature-strat	False	rf
mphl-Moss	read-based	feature-strat	False	rf
hum-kegg-distal	read-based	feature-strat	False	rf
hum-kegg-FIT-high	read-based	feature-strat	False	rf
hum-kegg-FIT-low	read-based	feature-strat	False	rf
hum-kegg-men	read-based	feature-strat	False	rf
hum-kegg-old	read-based	feature-strat	False	rf
hum-kegg-proximal	read-based	feature-strat	False	rf
hum-kegg-WCRF-high	read-based	feature-strat	False	rf
hum-kegg-WCRF-low	read-based	feature-strat	False	rf
hum-kegg-women	read-based	feature-strat	False	rf
hum-kegg-young	read-based	feature-strat	False	rf
hum-kegg-Bærum	read-based	feature-strat	False	rf
hum-kegg-Moss	read-based	feature-strat	False	rf
mags-neg-nnl-v-aa-serr-crc	mag-based	outcome-strat	False	rf
mags-neg-v-aa	mag-based	outcome-strat	False	rf
mags-neg-v-aa-crc	mag-based	outcome-strat	False	rf
mags-neg-v-aa-serr-crc	mag-based	outcome-strat	False	rf
mags-neg-v-crc	mag-based	outcome-strat	False	rf
mags-neg-v-naa-aa-serr-crc	mag-based	outcome-strat	False	rf
mags-neg-v-serr	mag-based	outcome-strat	False	rf
mphl-neg-nnl-v-aa-serr-crc	read-based	outcome-strat	False	rf
mphl-neg-v-aa	read-based	outcome-strat	False	rf
mphl-neg-v-aa-crc	read-based	outcome-strat	False	rf
mphl-neg-v-aa-serr-crc	read-based	outcome-strat	False	rf
mphl-neg-v-crc	read-based	outcome-strat	False	rf
mphl-neg-v-naa-aa-serr-crc	read-based	outcome-strat	False	rf
mphl-neg-v-serr	read-based	outcome-strat	False	rf
hum-kegg-neg-nnl-v-aa-serr-crc	read-based	outcome-strat	False	rf
hum-kegg-neg-v-aa	read-based	outcome-strat	False	rf
hum-kegg-neg-v-aa-crc	read-based	outcome-strat	False	rf
hum-kegg-neg-v-aa-serr-crc	read-based	outcome-strat	False	rf
hum-kegg-neg-v-crc	read-based	outcome-strat	False	rf
hum-kegg-neg-v-naa-aa-serr-crc	read-based	outcome-strat	False	rf
hum-kegg-neg-v-serr	read-based	outcome-strat	False	rf
CRCbiome_CRC_advad_v_norm	read-based	LODO-internal	False	rf
CRCbiome_CRC_v_norm_clean	read-based	LODO-internal	False	rf
CRCbiome_full	read-based	LODO-internal	False	rf
none	read-based	LODO-external	False	rf
None	read-based	LODO-external	False	rf
ThomasAM_2018a	read-based	LODO-external	False	rf
ThomasAM_2018b	read-based	LODO-external	False	rf
lee	read-based	LODO-external	False	rf
hum-kegg	read-based	base	False	lasso
hum-kegg-lididem	read-based	base	False	lasso
lididem	other	base	False	lasso
mags	mag-based	base	False	lasso
mags-lididem	mag-based	base	False	lasso
mphl	read-based	base	True	lasso
mphl-hum-kegg	read-based	base	False	lasso
mphl-hum-kegg-lididem	read-based	base	False	lasso
mphl-lididem	read-based	base	False	lasso
hum-kegg	read-based	base	False	svm
hum-kegg-lididem	read-based	base	False	svm
lididem	other	base	False	svm
mags	mag-based	base	False	svm
mags-lididem	mag-based	base	False	svm
mphl	read-based	base	True	svm
mphl-hum-kegg	read-based	base	False	svm
mphl-hum-kegg-lididem	read-based	base	False	svm
mphl-lididem	read-based	base	False	svm
hum-kegg	read-based	base	False	xgb
hum-kegg-lididem	read-based	base	False	xgb
lididem	other	base	False	xgb
mags	mag-based	base	False	xgb
mags-lididem	mag-based	base	False	xgb
mphl	read-based	base	True	xgb
mphl-hum-kegg	read-based	base	False	xgb
mphl-hum-kegg-lididem	read-based	base	False	xgb
mphl-lididem	read-based	base	False	xgb
lididem	other	base	False	nnet
mags	mag-based	base	False	nnet
mphl	read-based	base	True	nnet
