primary_model	add_var	secondary_alg	predictor	sensitivities	specificities	thresholds	var_cat
rf_mphl	fit	log_reg	FIT_over_20	0.8793103448275862	0.25555555555555554	0.5	roc
rf_mphl	fit	log_reg	FIT_over_25	0.7758620689655172	0.35555555555555557	0.5	roc
rf_mphl	fit	log_reg	FIT_over_35	0.5517241379310345	0.5444444444444444	0.5	roc
rf_mphl	fit	log_reg	FIT_over_75	0.3103448275862069	0.8111111111111111	0.5	roc
rf_mphl	fit_demo_wcrf	log_reg	FIT_over_20	0.8761904761904762	0.225	0.5	roc
rf_mphl	fit_demo_wcrf	log_reg	FIT_over_25	0.7714285714285715	0.325	0.5	roc
rf_mphl	fit_demo_wcrf	log_reg	FIT_over_35	0.5428571428571428	0.5125	0.5	roc
rf_mphl	fit_demo_wcrf	log_reg	FIT_over_75	0.29523809523809524	0.8125	0.5	roc
rf_mags	fit	log_reg	FIT_over_20	0.8793103448275862	0.25555555555555554	0.5	roc
rf_mags	fit	log_reg	FIT_over_25	0.7758620689655172	0.35555555555555557	0.5	roc
rf_mags	fit	log_reg	FIT_over_35	0.5517241379310345	0.5444444444444444	0.5	roc
rf_mags	fit	log_reg	FIT_over_75	0.3103448275862069	0.8111111111111111	0.5	roc
rf_mags	fit_demo_wcrf	log_reg	FIT_over_20	0.8761904761904762	0.225	0.5	roc
rf_mags	fit_demo_wcrf	log_reg	FIT_over_25	0.7714285714285715	0.325	0.5	roc
rf_mags	fit_demo_wcrf	log_reg	FIT_over_35	0.5428571428571428	0.5125	0.5	roc
rf_mags	fit_demo_wcrf	log_reg	FIT_over_75	0.29523809523809524	0.8125	0.5	roc
