primary_model	add_var	secondary_alg	predictor	mean_threshold	measure	CI_low	bootstrap_median	CI_high
rf_mphl	fit	log_reg	primary_pred	0.5127102698412698	sensitivity	0.6982758620689655	0.7758620689655172	0.8448275862068966
rf_mphl	fit	log_reg	primary_pred	0.5127102698412698	specificity	0.2222222222222222	0.3111111111111111	0.4111111111111111
rf_mphl	fit	log_reg	secondary_pred	0.3672261901242363	sensitivity	0.75	0.8189655172413793	0.8879310344827587
rf_mphl	fit	log_reg	secondary_pred	0.3672261901242363	specificity	0.2	0.28888888888888886	0.37777777777777777
rf_mphl	fit	log_reg	FIT_value	23.3485	sensitivity	0.7413793103448276	0.8103448275862069	0.8793103448275862
rf_mphl	fit	log_reg	FIT_value	23.3485	specificity	0.2222222222222222	0.32222222222222224	0.4222222222222222
rf_mphl	fit_demo_wcrf	log_reg	primary_pred	0.5124997182539682	sensitivity	0.6476190476190476	0.7333333333333333	0.819047619047619
rf_mphl	fit_demo_wcrf	log_reg	primary_pred	0.5124997182539682	specificity	0.25	0.35	0.45
rf_mphl	fit_demo_wcrf	log_reg	secondary_pred	0.3438504114201778	sensitivity	0.7428571428571429	0.819047619047619	0.8857142857142857
rf_mphl	fit_demo_wcrf	log_reg	secondary_pred	0.3438504114201778	specificity	0.2746875000000006	0.375	0.4875
rf_mphl	fit_demo_wcrf	log_reg	FIT_value	23.2015	sensitivity	0.7238095238095238	0.8	0.8666666666666667
rf_mphl	fit_demo_wcrf	log_reg	FIT_value	23.2015	specificity	0.1875	0.2875	0.3875
rf_mphl	fit_demo_wcrf	log_reg	only_add_var	0.3613989714258134	sensitivity	0.6857142857142857	0.7714285714285715	0.8476190476190476
rf_mphl	fit_demo_wcrf	log_reg	only_add_var	0.3613989714258134	specificity	0.2125	0.3125	0.4125
rf_mags	fit	log_reg	primary_pred	0.5088586964285714	sensitivity	0.7241379310344828	0.8017241379310345	0.8706896551724138
rf_mags	fit	log_reg	primary_pred	0.5088586964285714	specificity	0.25555555555555554	0.34444444444444444	0.4444444444444444
rf_mags	fit	log_reg	secondary_pred	0.3541390230374489	sensitivity	0.7672413793103449	0.8362068965517241	0.896551724137931
rf_mags	fit	log_reg	secondary_pred	0.3541390230374489	specificity	0.25555555555555554	0.35555555555555557	0.45555555555555555
rf_mags	fit	log_reg	FIT_value	23.3485	sensitivity	0.7413793103448276	0.8103448275862069	0.8793103448275862
rf_mags	fit	log_reg	FIT_value	23.3485	specificity	0.23333333333333334	0.32222222222222224	0.4222222222222222
rf_mags	fit_demo_wcrf	log_reg	primary_pred	0.5092399305555555	sensitivity	0.7333333333333333	0.8095238095238095	0.8761904761904762
rf_mags	fit_demo_wcrf	log_reg	primary_pred	0.5092399305555555	specificity	0.2125	0.3125	0.425
rf_mags	fit_demo_wcrf	log_reg	secondary_pred	0.33945431974220064	sensitivity	0.7238095238095238	0.8	0.8666666666666667
rf_mags	fit_demo_wcrf	log_reg	secondary_pred	0.33945431974220064	specificity	0.25	0.35	0.4625
rf_mags	fit_demo_wcrf	log_reg	FIT_value	23.2015	sensitivity	0.7238095238095238	0.8	0.8761904761904762
rf_mags	fit_demo_wcrf	log_reg	FIT_value	23.2015	specificity	0.1875	0.2875	0.3875
rf_mags	fit_demo_wcrf	log_reg	only_add_var	0.3613989714258134	sensitivity	0.6857142857142857	0.7714285714285715	0.8476190476190476
rf_mags	fit_demo_wcrf	log_reg	only_add_var	0.3613989714258134	specificity	0.2125	0.3125	0.4125
